Time,Calculated load value,Time,Engine RPM,Time,Vehicle speed,Time,Intake air temperature,Time,Time since engine start,Time,Barometric pressure,Time,Control module voltage,Time,Relative throttle position,Time,Accelerator pedal position D,Time,Engine coolant temperature,Time,Commanded throttle actuator control,Time,Fuel rate,Time,Instant fuel economy,Time,Total fuel economy
5.0453364,34.90196,5.0593222,947,5.0263668,1.242742,47.8387812,60.8,47.8454445,393,5.1633434,14.64881,47.858738,14.512,5.1703491,4.705883,5.1763394,19.60784,94.0983835,138.2,5.1833507,5.098039,5.0333399,0.455346,5.0333399,2.729226,5.0333399,31.81168
5.1504404,34.90196,5.1563537,949,5.1313538,1.242742,48.6497761,60.8,48.6567686,394,5.223351,14.50377,48.6687728,14.512,5.2304026,4.705883,5.2373603,19.60784,95.6658478,138.2,5.244384,5.098039,5.1373493,0.4372563,5.1373493,2.842137,5.1373493,31.81106
5.2103729,32.54902,5.2173581,942,5.1901742,1.242742,49.5338566,60.8,49.5418682,395,5.2903791,14.50377,49.5539204,14.135,5.318692,4.705883,5.3253601,19.60784,97.3887918,138.2,5.3323585,5.098039,5.1963728,0.4372563,5.1963728,2.842137,5.1963728,31.81071
5.2763695,32.54902,5.283402,950,5.2578859,1.242742,50.2027661,60.8,50.2087671,396,5.3703505,14.50377,50.2227812,12.405,5.3763573,4.705883,5.3833491,19.60784,98.8017944,138.2,5.3903846,5.098039,5.2643646,0.4243452,5.2643646,2.928612,5.2643646,31.81032
5.3563588,32.54902,5.3633513,945,5.3383533,1.242742,50.9718373,60.8,50.9778196,396,5.4323669,14.50377,50.9918414,12.28,5.4393715,4.705883,5.4453703,19.60784,100.3709413,140,5.4513757,4.705883,5.3443755,0.4467244,5.3443755,2.781899,5.3443755,31.80984
5.417027,34.90196,5.4234144,942,5.3963742,1.242742,51.7128807,60.8,51.7198813,397,5.4953973,14.50377,51.732872,12.38,5.5023828,4.313725,5.5084293,19.60784,101.8420899,140,5.5173946,4.705883,5.403373,0.4467244,5.403373,2.781899,5.403373,31.80948
5.4763023,34.90196,5.4833924,939,5.4573708,1.242742,52.4079321,60.8,52.413917,398,5.5833161,14.50377,52.4279153,12.355,5.5913145,4.313725,5.5973198,19.60784,103.1913483,140,5.6033139,4.705883,5.463377,0.4553177,5.463377,2.729396,5.463377,31.80911
5.5713255,34.90196,5.5773253,944,5.5533522,1.242742,53.076974,60.8,53.082964,399,5.6452581,14.50377,53.0949788,12.355,5.6661041,4.313725,5.6723327,19.60784,104.6345575,140,5.680238,4.705883,5.559377,0.4587606,5.559377,2.708913,5.559377,31.80851
5.7063552,33.33333,5.6373477,944,5.6113221,1.242742,53.6930738,60.8,53.7000136,399,5.7193608,14.50377,53.7130548,12.355,5.7253515,4.313725,5.730979,19.60784,106.3267354,140,5.73709,4.705883,5.6193422,0.4389641,5.6193422,2.83108,5.6193422,31.80816
5.7633578,33.33333,5.713354,939,5.6863167,1.242742,54.3271737,60.8,54.3374877,400,5.8063511,14.50377,54.3521844,12.305,5.8193403,4.313725,5.8253277,19.60784,107.7489125,140,5.8315508,4.705883,5.6942832,0.4389641,5.6942832,2.83108,5.6942832,31.80771
5.63135,33.33333,5.7713624,937,5.7438908,1.242742,55.1571597,60.8,55.1631674,401,5.8933238,14.50377,55.1771587,12.28,5.9096787,4.313725,5.9193285,19.60784,109.3409983,140,5.9253298,4.705883,5.7513573,0.4312177,5.7513573,2.881937,5.7513573,31.80738
5.8813442,31.76471,5.8873426,935,5.8630059,1.242742,55.8696178,60.8,55.8772592,401,5.9634508,14.50377,55.8961174,12.33,5.9693492,4.313725,5.9753296,19.60784,110.7721291,140,5.9813427,5.098039,5.8693331,0.4157248,5.8693331,2.989339,5.8693331,31.80672
5.9514001,31.76471,5.957433,929,5.9323297,1.242742,56.7323071,60.8,56.7383371,402,6.0194065,14.50377,56.7517133,12.33,6.025417,4.313725,6.0324286,19.60784,112.3312489,140,6.0384047,5.098039,5.939397,0.4157119,5.939397,2.989432,5.939397,31.80633
6.00542,31.76471,6.0128058,918,5.9873316,1.242742,57.4903554,60.8,57.4983424,403,6.0794175,14.50377,57.5103914,12.305,6.0863507,4.705883,6.0933645,19.60784,113.7424026,140,6.0993533,5.098039,5.9933443,0.4157119,5.9933443,2.989432,5.9933443,31.80603
6.0644273,31.76471,6.0724363,914,6.0444152,1.242742,58.3324075,60.8,58.3394368,404,6.1523557,14.50377,58.3524303,12.33,6.1583552,4.705883,6.1643701,19.60784,115.220615,140,6.1723505,5.098039,6.0524169,0.4157119,6.0524169,2.989432,6.0524169,31.8057
6.1393563,31.76471,6.1453594,912,6.1073657,1.242742,58.9844349,60.8,58.9904424,404,6.2084305,14.50377,59.0024736,12.305,6.219438,4.705883,6.2254287,19.60784,116.753744,140,6.2334355,5.098039,6.1269357,0.4191416,6.1269357,2.96497,6.1269357,31.80527
6.1964072,31.76471,6.2024423,909,6.1783992,1.242742,59.7634748,60.8,59.7705428,405,6.2724234,14.50377,59.7864688,12.33,6.278431,4.705883,6.2844364,19.60784,118.3899017,141.8,6.2934513,5.098039,6.1841062,0.4191416,6.1841062,2.96497,6.1841062,31.80495
6.2594695,33.72549,6.2654104,905,6.2404193,1.864114,60.5845145,60.8,60.5905096,406,6.3571887,14.50377,60.6056302,12.28,6.363421,4.705883,6.3694205,19.60784,120.0270284,141.8,6.3754281,5.098039,6.2464125,0.4397975,6.2464125,4.238573,6.2464125,31.8046
6.323414,33.72549,6.3294268,906,6.3014265,1.864114,61.2515499,60.8,61.2575794,407,6.623341,14.50377,61.2738796,12.33,6.6294479,4.705883,6.6354353,19.60784,121.847998,141.8,6.6414561,5.098039,6.3084143,0.4380761,6.3084143,4.255228,6.3084143,31.80425
6.6103585,35.68628,6.61734,907,6.5853564,1.864114,62.1705915,60.8,62.1765892,408,6.7014821,14.50377,62.1885852,12.33,6.7144698,4.705883,6.720462,19.60784,123.08707,141.8,6.7264615,5.098039,6.5984379,0.4638959,6.5984379,4.018387,6.5984379,31.8025
6.6704471,35.68628,6.6834557,911,6.6504578,1.864114,62.7896028,60.8,62.7965638,408,6.7674776,14.50377,62.8085822,12.33,6.775451,4.705883,6.781481,19.60784,124.5020943,141.8,6.7874592,5.098039,6.6584983,0.4681847,6.6584983,3.981578,6.6584983,31.80214
6.7544672,35.68628,6.7614682,911,6.7354672,2.485485,63.6036251,59,63.6106146,409,6.8474431,14.50377,63.624714,12.23,6.8554503,4.705883,6.8614505,19.60784,125.8656877,141.8,6.8674402,5.098039,6.7414473,0.4647421,6.7414473,5.348094,6.7414473,31.80167
6.8354551,36.07843,6.8414634,917,6.794458,2.485485,64.3066442,59,64.3116661,410,6.9074493,14.50377,64.3247739,12.28,6.9144781,4.705883,6.9204421,19.60784,127.360309,141.8,6.9265362,5.098039,6.8004579,0.4647421,6.8004579,5.348094,6.8004579,31.80133
6.8954525,36.07843,6.9016052,916,6.874462,2.485485,64.9615872,59,64.96876,410,6.9674687,14.50377,64.9827875,12.23,6.9755312,4.705883,6.9824846,19.60784,128.5583712,141.8,6.9884639,5.098039,6.8804432,0.4750697,6.8804432,5.231832,6.8804432,31.80086
6.9544657,36.07843,6.9614886,918,6.9354836,2.485485,65.7409743,59,65.7469162,411,7.0314624,14.50377,65.7649414,12.255,7.0594758,4.705883,7.0664559,19.60784,130.0534541,141.8,7.0754535,5.490196,6.9414875,0.4767762,6.9414875,5.213106,6.9414875,31.8005
7.0184626,37.64706,7.0247708,916,6.9955034,2.485485,66.5984335,57.2,66.6052735,412,7.1204519,14.50377,66.6210106,12.23,7.1260959,4.705883,7.1324521,19.60784,131.5976247,141.8,7.1384564,5.490196,7.0014633,0.4767762,7.0014633,5.213106,7.0014633,31.80014
7.1034625,37.64706,7.1094895,915,7.0814626,2.485485,67.5219303,57.2,67.5295338,413,7.1764644,14.50377,67.5439231,12.18,7.1834731,4.705883,7.1894715,19.60784,133.0265754,141.8,7.1964688,5.490196,7.087465,0.4914065,7.087465,5.0579,7.087465,31.79961
7.1625039,37.64706,7.1684895,909,7.1444639,2.485485,68.4889526,57.2,68.4980356,414,7.2388903,14.50377,68.5119418,12.23,7.2454642,5.098039,7.2514964,19.60784,134.6467447,141.8,7.2575051,5.490196,7.1504583,0.4974307,7.1504583,4.996645,7.1504583,31.79922
